Sponginess,Wonder level,Crunchiness,Loudness on impact,Meme creativity,Soap slipperiness,Hype root
5.702779908,-0.890740097,5.113479877,0.350939996,-0.415979975,19.10064047,0.468800012
5.146679845,-1.001959951,4.001279948,0.350939996,-0.567040009,18.9827803,-0.062399976
5.500259943,-0.779520044,4.334940104,0.350939996,-0.415979975,19.10064047,-0.298120009
5.399000158,-0.779520044,3.890060093,0.350939996,-0.314719993,19.10064047,-0.356219953
5.550059896,-0.557080039,3.113180003,0.468800012,-0.21346001,19.33303946,-1.476719973
5.399000158,-0.557080039,2.668299992,0.468800012,-0.112200028,18.40012058,-1.772199929
5.297739978,-0.557080039,2.223419981,0.468800012,-0.112200028,18.75037973,-1.949819918
5.448800111,-0.223419981,1.778540019,0.468800012,-0.010940045,19.33303946,-2.243639994
5.095220013,-0.334640033,0.332679983,0.586660003,-0.314719993,18.86657923,-4.132720013
5.297739978,-0.112200028,-2.779819918,0.764279992,-0.21346001,17.93199968,-7.376360006
4.993959832,0.332679983,-10.56356013,1.707159998,-0.112200028,18.04985985,-14.51435953
5.095220013,0.332679983,-4.448120108,1.059759997,-0.163659959,18.63251957,-6.66919981
5.247940025,-0.000979975,-2.446159959,0.764279992,-0.163659959,18.40012058,-7.022780304
5.601520123,0.110239978,-3.78080019,0.882139996,-0.112200028,18.63251957,-8.438759785
5.448800111,0.777559994,-9.673799715,1.471440015,-0.112200028,18.75037973,-13.03861963
5.905299873,0.555119989,-7.228619633,1.235720008,-0.010940045,19.21683996,-12.27169981
6.106159959,0.555119989,-6.783740215,1.235720008,-0.163659959,18.9827803,-12.0957399
5.853840041,3.224400055,-20.23638037,3.596240017,-0.263259963,19.5671007,-24.48265972
5.399000158,1.444880011,-12.00941982,2.356219953,-0.465780027,20.26762058,-15.57509943
4.791439867,0.221459981,-8.450379734,1.235720008,-0.517239958,19.45089962,-12.33146023
4.489319997,0.888779997,-12.45429924,1.825020015,-0.567040009,19.21683996,-16.40177967
4.235340002,0.332679983,-12.78795959,1.235720008,-0.567040009,19.45089962,-16.34201925
4.489319997,0.888779997,-13.11995928,1.944540009,-0.719760022,19.33303946,-17.05083933
4.235340002,1,-13.11995928,2.002639954,-0.517239958,19.33303946,-15.57509943
4.235340002,0.443899986,-9.562579861,1.295480005,-0.415979975,19.45089962,-13.03861963
4.084280066,-0.000979975,-7.449400253,1.059759997,-0.465780027,19.5671007,-11.03334012
4.134080019,0.221459981,-8.672820234,1.235720008,-0.517239958,19.21683996,-12.27169981
3.933219934,0.443899986,-10.00746007,1.295480005,-0.465780027,19.45089962,-13.09838005
3.933219934,2.334640033,-17.01265972,2.947179964,-0.465780027,20.15141951,-20.17661995
4.034479916,0.221459981,-15.45558018,2.591939986,-0.465780027,19.5671007,-18.46682039
3.933219934,0.443899986,-10.22989978,1.295480005,-0.517239958,19.5671007,-13.56982071
4.034479916,-0.000979975,-7.117399778,1.059759997,-0.415979975,20.38548075,-10.62
4.185540049,0.110239978,-8.33915988,1.117860004,-0.263259963,20.38548075,-11.21095991
3.983020084,-0.779520044,-2.891040168,0.704519995,-0.465780027,20.38548075,-6.196100063
3.933219934,-0.557080039,-2.779819918,0.704519995,-0.517239958,20.7357399,-5.960379734
3.780499921,-0.668299992,-3.447139835,0.704519995,-0.465780027,20.15141951,-6.373719854
3.881759903,-0.557080039,-4.336899858,0.822379999,-0.517239958,21.43625978,-7.376360006
3.933219934,-0.779520044,-1.669280066,0.586660003,-0.61850004,21.31839962,-4.839879813
3.881759903,-1.001959951,0.666339992,0.468800012,-0.61850004,21.55245928,-2.361500158
4.235340002,-1.113180003,1.556100014,0.468800012,-0.61850004,21.78652052,-1.596240017
4.437860165,-1.001959951,2.668299992,0.350939996,-0.567040009,21.90272001,-0.829319997
4.791439867,-1.001959951,3.224400055,0.350939996,-0.668299992,22.72110006,-0.533840041
5.146679845,-1.001959951,4.334940104,0.350939996,-0.567040009,22.13677967,0.292840002
5.196480193,-1.001959951,4.779819918,0.350939996,-0.567040009,22.01891951,0.646420001
5.095220013,-1.001959951,4.891040168,0.350939996,-0.668299992,21.55245928,0.882139996
5.196480193,-2.334940104,5.447139835,-1.06503993,-0.61850004,22.25298075,1.177620001
5.095220013,-1.446839962,5.447139835,-0.180260042,-0.668299992,22.13677967,1.235720008
4.892700047,-1.113180003,5.113479877,0.292840002,-0.668299992,21.78652052,1.235720008
4.892700047,-1.33561991,5.224700127,0.115220013,-0.769559975,20.03522001,1.235720008
5.095220013,-1.33561991,5.335919981,0.115220013,-0.61850004,17.6996007,1.235720008
5.095220013,-1.33561991,5.335919981,0.115220013,-0.668299992,18.75037973,1.235720008
5.247940025,1,7.671540089,1.117860004,-0.567040009,20.15141951,3.418620028
4.993959832,-0.112200028,7.671540089,1,-0.567040009,20.15141951,3.596240017
5.146679845,-0.112200028,7.782759943,1,-0.517239958,20.50168024,3.596240017
4.842900095,-0.112200028,12.00746007,1,-0.567040009,20.15141951,7.547040009
4.892700047,-0.112200028,11.78502036,0.822379999,-0.517239958,19.10064047,7.902279987
4.64038013,-0.223419981,11.34014015,1.295480005,-0.465780027,17.81580019,8.138000317
4.64038013,-0.000979975,11.78502036,1,-0.567040009,17.46553946,8.078239899
4.539119949,0.555119989,14.56551989,1.177620001,-0.567040009,17.1152803,11.20567961
4.388059816,1.667320017,15.56484028,2.180260042,-0.465780027,17.93199968,11.14591998
4.286800032,1.889760022,15.23117992,2.298120009,-0.465780027,19.80116035,12.14856013
4.084280066,0.666339992,14.56551989,2.12050002,-0.567040009,18.04985985,10.6147197
3.831959951,1.333660008,14.34308018,2.651700008,-0.61850004,17.58174053,10.43875978
4.084280066,2.334640033,15.34240057,2.298120009,-0.517239958,18.51632008,11.73522001
4.286800032,2.557080039,16.56581976,2.769559975,-0.415979975,19.45089962,12.38427967
3.933219934,3.224400055,15.23117992,2.002639954,-0.465780027,20.03522001,12.44404009
3.881759903,3.446839962,17.45558018,4.00792006,-0.517239958,20.7357399,13.97787973
3.983020084,5.113479877,16.67704041,4.598879972,-0.465780027,20.7357399,15.1564798
3.679239938,3.778840041,17.78924053,4.00792006,-0.517239958,21.66866035,15.1564798
3.629439986,4.557379813,18.79022001,5.36580019,-0.567040009,21.31839962,16.04125978
3.577979956,4.334940104,18.90144066,5.010559816,-0.567040009,21.20220013,16.15911995
3.528180003,3.33561991,17.23314047,3.890060093,-0.61850004,21.08600063,13.97787973
3.476719973,4.223720052,18.3453406,4.774839883,-0.567040009,21.31839962,15.21624022
3.528180003,4.223720052,18.01168024,4.185540049,-0.61850004,21.43625978,15.21624022
3.275860085,4.446159959,18.90144066,4.834599905,-0.769559975,20.85193939,15.62957954
3.224400055,4.334940104,19.34632008,5.423899937,-0.821020005,21.66866035,16.98580019
3.224400055,3.669280066,16.56581976,5.36580019,-0.769559975,21.31839962,14.98051989
3.275860085,4.334940104,18.1228993,5.188180003,-0.769559975,20.96814047,15.86529987
3.224400055,4.446159959,18.45655966,4.774839883,-0.821020005,20.50168024,16.4546007
3.174599905,4.446159959,19.01265972,5.247940025,-0.769559975,20.26762058,16.69031944
3.224400055,3.558060014,16.12094034,4.834599905,-0.821020005,20.50168024,14.50907923
3.275860085,3.669280066,16.34338005,4.361500158,-0.769559975,20.38548075,14.27169981
3.224400055,3.778840041,17.34435953,4.834599905,-0.769559975,19.21683996,15.27433996
3.174599905,3.224400055,18.67899937,4.539119949,-0.769559975,17.6996007,15.62957954
3.224400055,3.33561991,18.1228993,4.303400016,-0.719760022,13.84507986,15.21624022
3.325660038,2.779520044,16.12094034,4.185540049,-0.769559975,13.26076026,12.85738021
3.325660038,3.669280066,17.78924053,5.601520123,-0.821020005,13.72888037,14.74479956
3.426920021,3.669280066,18.3453406,5.719379892,-0.567040009,13.14455997,16.04125978
3.476719973,3.558060014,17.90045959,3.949819918,-0.821020005,12.44404009,14.68504072
3.780499921,3.778840041,18.5677803,4.243639994,-0.61850004,12.79430003,15.21624022
3.881759903,3.33561991,16.34338005,2.238359987,-0.668299992,13.49481992,13.26905966
4.034479916,3.890060093,19.12388037,4.185540049,-0.61850004,12.67809975,15.74743971
4.286800032,3.669280066,19.79119949,4.598879972,-0.567040009,13.37861963,16.39649937
4.388059816,3.001959951,18.90144066,4.243639994,-0.668299992,14.1953398,15.33410038
4.892700047,3.33561991,19.90242014,3.123140073,-0.465780027,12.56024037,15.21624022
4.691839962,3.001959951,20.90174053,3.772199929,-0.668299992,13.72888037,16.80817961
5.702779908,4.1125,22.90369949,2.769559975,-0.263259963,13.49481992,16.51435953
5.804040089,4.446159959,21.01295959,3.123140073,-0.314719993,12.79430003,15.21624022
5.702779908,4.668600063,22.68125978,4.656980114,-0.163659959,12.56024037,17.63485985
5.247940025,5.892020044,21.90272001,5.777480035,-0.415979975,12.56024037,17.10366035
5.702779908,5.335919981,20.56808018,5.306040168,-0.010940045,13.72888037,16.6322197
6.004900174,5.002260022,19.12388037,4.716740136,0.241380021,14.54559975,13.91812011
5.34753993,4.557379813,18.67899937,4.303400016,0.292840002,13.37861963,14.38955997
5.550059896,5.447139835,18.45655966,4.656980114,0.140119989,13.37861963,12.97524037
5.702779908,5.113479877,18.3453406,4.656980114,0.292840002,13.6110202,13.80025994
5.601520123,4.334940104,15.67605934,3.418620028,0.241380021,13.26076026,11.49949968
5.550059896,4.334940104,17.01070076,4.481019807,0.241380021,14.31320076,12.03069997
5.601520123,3.001959951,13.1196602,2.651700008,0.140119989,14.31320076,7.193459911
5.853840041,3.224400055,7.671540089,3.890060093,0.241380021,14.31320076,2.474080019
5.955099826,1.889760022,12.11867992,3.182900095,0.191580019,15.24611963,6.897979956
6.004900174,3.001959951,13.45331976,2.180260042,0.140119989,15.94663952,7.902279987
6.004900174,3.001959951,14.12063968,2.651700008,-0.010940045,16.06449968,7.606800032
6.207420139,3.001959951,13.67576026,2.591939986,-0.112200028,17.1152803,8.549679766
6.207420139,2.668299992,13.89819997,3.005279908,-0.163659959,18.51632008,8.078239899
6.004900174,2.557080039,11.78502036,2.71146003,-0.163659959,18.9827803,7.135360165
5.448800111,2.000979975,12.22989978,2.71146003,-0.263259963,18.86657923,7.724660196
5.095220013,0.888779997,8.783740215,2.002639954,-0.364520044,16.6471594,4.892700047
4.791439867,1,8.116420298,1.531199988,-0.364520044,15.71424053,3.536479995
4.94415988,1.111220003,6.670559816,2.002639954,-0.263259963,16.99907923,3.123140073
4.691839962,1.778540019,9.006179924,1.707159998,-0.263259963,18.40012058,3.772199929
4.791439867,1.667320017,8.672520361,2.002639954,-0.21346001,16.88122065,4.481019807
4.590580177,1.778540019,7.115440025,2.12050002,-0.263259963,16.18070076,3.949819918
4.539119949,2.112200028,5.78080019,2.356219953,-0.112200028,16.6471594,3.24100004
4.489319997,1.889760022,9.449400253,3.123140073,-0.163659959,17.58174053,6.132720013
4.388059816,1.778540019,5.558360085,1.707159998,-0.263259963,18.9827803,2.180260042
4.489319997,1,8.227640152,2.356219953,-0.263259963,16.53095991,5.247940025
4.489319997,2.000979975,9.117399778,3.300760062,-0.21346001,15.12992014,5.719379892
4.286800032,1.667320017,7.782759943,1.235720008,-0.263259963,16.53095991,3.24100004
4.437860165,2.000979975,9.228619633,2.474080019,-0.21346001,18.16605934,3.300760062
4.235340002,2.112200028,5.224700127,2.71146003,-0.263259963,18.9827803,0.940240003
4.286800032,2.112200028,2.000979975,3.06503993,-0.263259963,19.21683996,-0.474080019
4.185540049,1,5.892020044,2.415979975,-0.415979975,19.33303946,2.591939986
4.336599984,0.666339992,5.447139835,1.649060004,-0.415979975,19.45089962,2.002639954
4.437860165,0.666339992,3.224400055,1.589299982,-0.364520044,19.80116035,0.822379999
4.590580177,0.555119989,6.448120108,1.295480005,-0.314719993,20.15141951,2.887419941
4.892700047,0.777559994,6.670559816,1.589299982,-0.163659959,20.26762058,4.125780027
5.04542006,0.443899986,8.672520361,1.177620001,-0.263259963,20.7357399,6.368439946
5.247940025,0.332679983,11.78502036,1,-0.465780027,20.50168024,7.664899778
5.752579861,0.332679983,13.1196602,1.589299982,-0.364520044,20.38548075,8.373719854
5.702779908,0.110239978,12.78599984,0.174979985,-0.263259963,20.26762058,8.431820393
5.702779908,-0.668299992,12.8972197,0.233079979,-0.364520044,20.38548075,8.431820393
5.196480193,-2.001279948,12.8972197,-1.06503993,-0.61850004,20.15141951,8.373719854
4.892700047,-1.669280066,12.00746007,-0.651700008,-0.870819957,20.50168024,7.784419823
4.892700047,-1.558060014,12.00746007,0.410700018,-0.870819957,20.26762058,7.960379734
5.04542006,-0.445859987,12.34111963,0.940240003,-0.769559975,20.38548075,8.25585969
5.095220013,-0.334640033,12.56356013,0.882139996,-0.769559975,20.38548075,8.431820393
5.095220013,-0.445859987,12.34111963,0.822379999,-0.719760022,20.38548075,8.25585969
5.146679845,-0.557080039,12.34111963,0.764279992,-0.668299992,19.91735985,8.078239899
5.095220013,-0.334640033,12.22989978,0.882139996,-0.719760022,19.5671007,8.138000317
5.095220013,-0.223419981,12.22989978,0.940240003,-0.668299992,19.80116035,8.020140152
4.892700047,-0.334640033,11.78502036,0.882139996,-0.668299992,19.5671007,7.784419823
4.741639915,-0.445859987,11.56257986,0.822379999,-0.719760022,20.15141951,7.664899778
4.691839962,-0.334640033,11.34014015,0.940240003,-0.719760022,20.26762058,7.606800032
4.539119949,-0.334640033,11.0064798,0.940240003,-0.769559975,20.26762058,7.547040009
4.388059816,-0.890740097,13.45331976,1.059759997,-0.821020005,19.68495928,10.96830019
4.134080019,1.222440006,14.12063968,1.707159998,-0.769559975,19.5671007,11.73522001
3.933219934,1,15.11995928,2.415979975,-0.769559975,19.80116035,11.20567961
3.881759903,1.667320017,14.89751957,2.474080019,-0.769559975,19.5671007,11.5592601
3.933219934,1.889760022,15.11995928,2.356219953,-0.567040009,19.5671007,11.67712027
4.185540049,3.558060014,17.45558018,4.42126018,-0.465780027,19.68495928,14.38955997
4.185540049,3.669280066,18.5677803,4.716740136,-0.465780027,19.5671007,15.68767929
4.235340002,4.668600063,19.34632008,5.423899937,-0.465780027,19.10064047,16.15911995
4.134080019,3.446839962,16.89948011,4.303400016,-0.465780027,19.45089962,14.0957399
4.185540049,5.66957994,20.90174053,6.368439946,-0.364520044,19.80116035,17.75272001
4.134080019,6.003239899,20.56808018,6.072959991,-0.364520044,20.15141951,17.10366035
4.034479916,4.446159959,16.34338005,5.306040168,-0.415979975,20.38548075,13.38691982
3.831959951,4.223720052,19.34632008,4.361500158,-0.364520044,20.50168024,16.1010202
3.881759903,4.668600063,21.01295959,5.895339804,-0.465780027,20.38548075,17.51699968
3.780499921,5.447139835,19.90242014,6.544399858,-0.415979975,20.96814047,18.40177967
3.629439986,5.002260022,20.01364079,6.368439946,-0.465780027,20.7357399,18.57773958
3.577979956,4.557379813,20.67929924,4.716740136,-0.465780027,21.43625978,16.75007986
3.730699968,4.779819918,18.3453406,6.072959991,-0.415979975,22.01891951,15.56982071
3.730699968,5.002260022,19.34632008,6.662260022,-0.364520044,22.37083933,17.69295959
3.730699968,5.113479877,19.67998043,5.777480035,-0.415979975,22.95350063,17.10366035
3.730699968,4.557379813,19.67998043,5.36580019,-0.465780027,23.77188068,16.98580019
3.679239938,5.335919981,19.12388037,5.601520123,-0.415979975,24.12213984,16.4546007
3.730699968,4.1125,16.78825947,3.714099984,-0.517239958,24.00427967,14.38955997
3.730699968,6.114460149,20.90174053,6.013199968,-0.465780027,23.77188068,17.45723927
3.476719973,5.558360085,19.01265972,5.247940025,-0.517239958,23.88808018,15.45196054
3.730699968,5.002260022,20.34729956,6.072959991,-0.465780027,24.47240057,17.63485985
3.528180003,4.779819918,19.12388037,4.95246007,-0.517239958,24.82265972,16.21888037
3.780499921,4.334940104,18.79022001,5.306040168,-0.517239958,25.63938068,15.56982071
3.679239938,3.778840041,20.56808018,4.361500158,-0.465780027,25.40698011,16.27864079
3.983020084,4.891040168,21.12418024,5.601520123,-0.415979975,25.17292046,17.9303406
3.881759903,6.003239899,19.67998043,6.072959991,-0.364520044,25.05506029,16.80817961
4.336599984,5.558360085,20.67929924,5.483659959,-0.21346001,24.93885921,17.33938068
4.286800032,4.779819918,20.45685953,5.010559816,-0.263259963,24.93885921,16.04125978
4.437860165,4.668600063,20.12485985,5.247940025,-0.415979975,24.93885921,15.98316004
5.04542006,3.890060093,19.45754072,4.00792006,-0.112200028,24.47240057,14.44932039
5.146679845,2.334640033,17.23314047,2.769559975,-0.21346001,25.17292046,13.03334012
5.04542006,2.223419981,16.34338005,2.298120009,-0.465780027,25.17292046,12.14856013
5.651320076,0.888779997,17.34435953,2.238359987,-0.364520044,25.52317961,12.03069997
5.297739978,2.334640033,18.5677803,2.71146003,-0.415979975,25.98963984,13.56453961
5.448800111,3.001959951,16.89948011,3.596240017,-0.21346001,25.40698011,12.91547996
5.297739978,3.001959951,16.12094034,3.06503993,-0.21346001,25.52317961,11.14591998
5.34753993,2.223419981,15.34240057,2.415979975,-0.112200028,26.1075,10.20138037
5.297739978,3.890060093,15.78727999,3.772199929,-0.062399976,26.22369949,10.55661995
4.94415988,3.778840041,14.89751957,4.00792006,-0.21346001,25.75723927,10.73257986
5.196480193,3.558060014,-0.223419981,4.716740136,-0.062399976,27.27448011,-4.486300111
4.791439867,5.113479877,2.445859987,5.36580019,-0.163659959,26.69015972,-1.831959951
4.94415988,4.779819918,-0.557080039,5.837240057,-0.112200028,26.57396023,-4.60415988
4.791439867,4.779819918,-3.892020044,6.250580177,-0.062399976,26.33990057,-8.025419664
4.842900095,3.558060014,-11.23088005,4.361500158,-0.112200028,26.22369949,-15.28127935
4.691839962,4.557379813,-13.11995928,4.656980114,-0.112200028,26.69015972,-16.75536016
